damaged_curves_classic,damaged_curves_sub_stiff,damaged_curves_modified,damaged_curves_sub_stiff_bil,damaged_curves_modified_bil,classic_SLaMA,stiffness_SLaMA,stiffness_SLaMA_bil
0.6490274263554516,0.6687430565542558,0.6368681822337422,0.6013663598243464,0.585926888864582,0.7085208367835466,0.7182978676484433,0.6788321677218729
0.6409785642422013,0.6656852841518767,0.6400358568609841,0.5987571716542313,0.5862788331262866,0.7085208367835466,0.7182978676484433,0.6788321677218729
0.658981861435575,0.6853905495734646,0.6589818614355749,0.6108105891177449,0.597974247348623,0.7085208367835466,0.7182978676484433,0.6788321677218729
0.638997757352956,0.6585788373498989,0.6273929808045727,0.5932935462316231,0.5775380339863087,0.7085208367835466,0.7182978676484433,0.6788321677218729
0.6587315827378979,0.6811223136735142,0.6488689499767433,0.6079644490751595,0.5870206455551223,0.7085208367835466,0.7182978676484433,0.6788321677218729
0.6545516456121035,0.6726515333884427,0.6490287520797203,0.6045331385101886,0.5902288446209619,0.7085208367835466,0.7182978676484433,0.6788321677218729
0.6647562709748744,0.6871742295785715,0.6544208544377925,0.6093328842241269,0.5950258491759813,0.7085208367835466,0.7182978676484433,0.6788321677218729
0.6519298150772529,0.6683659568064346,0.6472551482125652,0.6080707642024658,0.5964619579971343,0.7085208367835466,0.7182978676484433,0.6788321677218729
0.6426060962796589,0.6642770717843417,0.632615063529297,0.5969372280448789,0.5814981953527296,0.7085208367835466,0.7182978676484433,0.6788321677218729
0.6533369830728023,0.6811168848192897,0.6486522261010975,0.6079734335986492,0.5964110524638688,0.7085208367835466,0.7182978676484433,0.6788321677218729
0.658981861435575,0.6853905495734646,0.6589818614355749,0.6094676263125717,0.5966023904049209,0.7085208367835466,0.7182978676484433,0.6788321677218729
0.6449107694416384,0.6723323884139474,0.6402864326881004,0.6030633549880531,0.5874194393077726,0.7085208367835466,0.7182978676484433,0.6788321677218729
0.6504658394161583,0.6755382493246966,0.643339489898508,0.6047610352571842,0.5876419668940603,0.7085208367835466,0.7182978676484433,0.6788321677218729
0.655060050691398,0.6908825555660564,0.6618395213368323,0.6143712396290105,0.6023807585769131,0.7085208367835466,0.7182978676484433,0.6788321677218729
0.6630738175018894,0.7034661359898269,0.6699362257296014,0.6178237855637988,0.6115355221063975,0.7085208367835466,0.7182978676484433,0.6788321677218729
0.6280252967166637,0.6522327288645915,0.6211448004643991,0.5903600421763897,0.5783401113391644,0.7085208367835466,0.7182978676484433,0.6788321677218729
0.6337277384198722,0.6723323884139474,0.6402864326881004,0.600483941348396,0.5874219850593687,0.7085208367835466,0.7182978676484433,0.6788321677218729
0.655060050691398,0.6949641963503783,0.6618395213368323,0.6164218799968516,0.6037048607164253,0.7085208367835466,0.7182978676484433,0.6788321677218729
0.655060050691398,0.6949641963503783,0.6618395213368323,0.6143857824399395,0.6022771934541546,0.7085208367835466,0.7182978676484433,0.6788321677218729
0.641728963700476,0.6674462422223734,0.641728963700476,0.5989290706221964,0.5828527526196605,0.7085208367835466,0.7182978676484433,0.6788321677218729
0.655060050691398,0.6949641963503783,0.6618395213368323,0.6164218799968516,0.6037048607164253,0.7085208367835466,0.7182978676484433,0.6788321677218729
0.658981861435575,0.6853905495734646,0.6589818614355749,0.6094676263125717,0.5966023904049209,0.7085208367835466,0.7182978676484433,0.6788321677218729
